typed_by_MRD,block ,pot_ID,treatment,max_root_depth_cm,remarks
LB,B1,SEAL-05,WW,12,
LB,B5,SEAL-06,WW,13,
LB,B1,SEAL-07,WW,13,
LB,B2,SEAL-08,WD,13,
LB,B3,SEAL-09,WW,13,
LB,B4,SEAL-10,WW,13,
LB,B4,SEAL-11,WW,11,
LB,B2,SEAL-12,WD,13,
LB,B2,SEAL-13,WW,13,
LB,B1,SEAL-14,WD,13,"Unclear on data sheet, wrote 13 down (LB); fixed! (GX)"
LB,B5,SEAL-15,WW,13,
LB,B3,SEAL-16,WW,13,
LB,B4,SEAL-17,WD,13,
LB,B5,SEAL-18,WD,13,
LB,B5,SEAL-19,WD,13,
LB,B4,SEAL-20,WD,13,
LB,B4,SESE-01,WD,13,
LB,B4,SESE-02,WW,12,
LB,B2,SESE-03,WW,12,
LB,B5,SESE-04,WW,13,
LB,B5,SESE-05,WD,12,
LB,B5,SESE-06,WD,13,
LB,B2,SESE-07,WD,12,
LB,B2,SESE-08,WW,11,
LB,B1,SESE-09,WW,13,
LB,B2,SESE-10,WD,13,
LB,B3,SESE-11,WD,13,
LB,B4,SESE-12,WD,13,
LB,B3,SESE-13,WW,11.5,
LB,B5,SESE-14,WW,13,Extrapolated the 13 down (LB)
LB,B4,SESE-15,WW,13,
LB,B3,SESE-16,WW,13,
LB,B3,SESE-17,WD,11,
LB,B1,SESE-18,WD,12,
LB,B1,SESE-19,WW,13,
LB,B1,SESE-20,WD,12,
LB,B5,SITR-01,WW,13,
GX,B2,SITR-02,WD,13,
LB,B3,SITR-03,WD,13,
GX,B1,SITR-04,WW,13,
GX,B1,SITR-05,WD,5,
GX,B2,SITR-06,WW,13,"reproductive state on fieldstate was written as ""SN"" so dead plant (GX)"
GX,B1,SITR-07,WD,13,
GX,B3,SITR-08,WW,13,
LB,B5,SITR-09,WD,13,
GX,B4,SITR-10,WW,13,
GX,B1,SITR-11,WW,13,
LB,B4,SITR-12,WD,13,
GX,B3,SITR-13,WW,13,
LB,B3,SITR-14,WD,13,
LB,B5,SITR-15,WD,13,
LB,B4,SITR-16,WD,13,
GX,B4,SITR-17,WW,9,
GX,B2,SITR-18,WW,13,
LB,B5,SITR-19,WW,13,
LB,B2,SITR-20,WD,13,
LB,B5,SOBI-01,WW,12,
LB,B2,SOBI-02,WW,13,"Was put in as B1 SOBI-20, changes to B2 SOB1-02 (LB)"
LB,B4,SOBI-03,WW,13,
LB,B4,SOBI-04,WD,13,
LB,B1,SOBI-05,WD,12,
LB,B4,SOBI-06,WW,13,
LB,B4,SOBI-07,WD,12,
LB,B5,SOBI-08,WD,11,
LB,B2,SOBI-09,WD,13,
LB,B3,SOBI-10,WD,12,
LB,B1,SOBI-11,WW,13,
LB,B5,SOBI-12,WD,13,
LB,B2,SOBI-13,WD,11,
LB,B3,SOBI-14,WW,13,
LB,B2,SOBI-15,WW,13,
LB,B3,SOBI-16,WW,12,
LB,B1,SOBI-17,WD,13,
LB,B5,SOBI-18,WW,13,
LB,B3,SOBI-19,WD,13,
LB,B1,SOBI-20,WW,13,"changed from ""B2"" to ""B1"" (GX)"
LB,B3,SYNO-01,WW,13,
LB,B2,SYNO-02,WW,13,
LB,B3,SYNO-03,WD,13,
LB,B5,SYNO-04,WW,13,
LB,B4,SYNO-05,WD,13,
LB,B5,SYNO-06,WD,13,
LB,B3,SYNO-07,WW,13,
LB,B5,SYNO-08,WW,13,
LB,B1,SYNO-09,WD,13,
LB,B4,SYNO-10,WD,13,
LB,B1,SYNO-11,WD,13,
LB,B3,SYNO-12,WD,13,
LB,B1,SYNO-13,WW,13,
LB,B1,SYNO-14,WW,13,
LB,B4,SYNO-15,WW,13,
LB,B2,SYNO-16,WW,13,
LB,B2,SYNO-17,WD,13,
LB,B4,SYNO-18,WW,13,
LB,B2,SYNO-19,WD,13,
LB,B5,SYNO-20,WD,13,
LB,B1,VAMA-01,WW,7.5,
-,B3,VAMA-02,WW,-,Dead plant (GX)
-,B2,VAMA-03,WD,-,Dead plant (GX)
-,B5,VAMA-04,WD,-,Dead plant (GX)
-,B5,VAMA-05,WD,-,Dead plant (GX)
-,B4,VAMA-06,WD,-,Dead plant (GX)
LB,B3,VAMA-07,WD,8,
-,B4,VAMA-08,WD,-,Dead plant (GX)
GX,B2,VAMA-09,WW,5.7,
-,B2,VAMA-10,WW,-,Dead plant (GX)
-,B5,VAMA-11,WW,-,Dead plant (GX)
-,B3,VAMA-12,WD,-,Dead plant (GX)
-,B4,VAMA-13,WW,-,Dead plant (GX)
LB,B4,VAMA-14,WW,1,
-,B5,VAMA-15,WW,-,Dead plant (GX)
-,B1,VAMA-16,WW,-,Dead plant (GX)
-,B2,VAMA-17,WD,-,Dead plant (GX)
-,B3,VAMA-18,WW,-,Dead plant (GX)
LB,B1,VAMA-19,WD,3,
GX,B1,VAMA-20,WD,8.2,
