typed_by_dry,typed_by_fresh,recorded_by_fresh,recorded_by_dry,record_date_ymd,process_date_dry_ymd,process_date_fresh_ymd,block ,pot_ID,treatment,above_fresh_g,above_dry_g,remarks
KW,GX,GX,KW,2018-10-06,-,2018-10-06,B5,SOBI-01,WW,21,9,
GX,KW,RI,GX,2018-10-05,2018-10-22,2018-10-05,B2,SOBI-02,WW,35,19,
KW,GX,GX,KW,2018-10-06,-,2018-10-06,B4,SOBI-03,WW,24,10,
GX,KW,KW,GX,2018-10-05,2018-10-22,2018-10-05,B4,SOBI-04,WD,29,14,
KW,GX,GX,KW,2018-10-07,-,2018-10-07,B1,SOBI-05,WD,28,9,
GK,KW,RI,GK,2018-10-05,2018-10-22,2018-10-05,B4,SOBI-06,WW,32,16,
KW,GX,GX,KW,2018-10-07,-,2018-10-07,B4,SOBI-07,WD,20,9,
KW,GX,GX,KW,2018-10-07,-,2018-10-07,B5,SOBI-08,WD,21,9,
KW,GX,GX,KW,2018-10-06,,2018-10-15,B2,SOBI-09,WD,27,11,
KW,GX,GX,KW,2018-10-07,,2018-10-07,B3,SOBI-10,WD,21,8,
KW,GX,GX,KW,2018-10-07,-,2018-10-07,B1,SOBI-11,WW,24,9,
LB,KW,GX,LB,2018-09-25,2018-10-04,2018-10-03,B5,SOBI-12,WD,33,13,
KW,GX,GX,KW,2018-10-06,-,2018-10-06,B2,SOBI-13,WD,22,8,
KW,GX,GX,KW,2018-10-06,-,2018-10-06,B3,SOBI-14,WW,31,11,
KW,GX,GX,KW,2018-10-06,,2018-10-06,B2,SOBI-15,WW,27,8,
KW,GX,GX,KW,2018-10-06,-,2018-10-15,B3,SOBI-16,WW,28,10,"typo; changed from ""B5"" to ""B3"" (GX)"
KW,GX,GX,KW,2018-10-07,-,2018-10-07,B1,SOBI-17,WD,24,10,
KW,GX,GX,KW,2018-10-07,-,2018-10-07,B5,SOBI-18,WW,22,9,
KW,GX,GX,KW,2018-10-06,-,2018-10-06,B3,SOBI-19,WD,3.09,0.8112,
KW,GX,GX,KW,2018-10-06,-,2018-10-06,B1,SOBI-20,WW,20,6,"should be ""B1"" instead of ""B2"""
GX,KW,AR,GX,2018-10-05,2018-10-16,2018-10-05,B3,SYNO-01,WW,39,17,
GK,KW,AR,GK,2018-10-05,2018-10-22,2018-10-05,B2,SYNO-02,WW,23,10,
GK,KW,RI,GK,2018-10-05,2018-10-22,2018-10-05,B3,SYNO-03,WD,30,13,
KW,GX,GX,KW,2018-10-06,-,2018-10-06,B5,SYNO-04,WW,28,8,
LB,KW,GX,LB,2018-09-25,2018-10-04,2018-10-03,B4,SYNO-05,WD,29,14,
GX,KW,RI,GX,2018-10-05,2018-10-22,2018-10-05,B5,SYNO-06,WD,23,8.46,
GX,KW,AR,GX,2018-10-05,2018-10-22,2018-10-05,B3,SYNO-07,WW,39,16,
KW,GX,GX,KW,2018-10-06,-,2018-10-06,B5,SYNO-08,WW,23,5,
KW,GX,GX,KW,2018-10-06,-,2018-10-06,B1,SYNO-09,WD,30,7,
GX,KW,AR,GX,2018-10-05,2018-10-16,2018-10-05,B4,SYNO-10,WD,23,9,
GX,KW,GX,GX,2018-10-05,2018-10-22,2018-10-05,B1,SYNO-11,WD,23,7.85,
GX,KW,RI,GX,2018-10-05,2018-10-22,2018-10-05,B3,SYNO-12,WD,20,8.71,
GX,KW,AR,GX,2018-10-05,2018-10-22,2018-10-05,B1,SYNO-13,WW,31,14,
GK,KW,AR,GK,2018-10-05,2018-10-22,2018-10-05,B1,SYNO-14,WW,25,12,
GX,KW,KW,GX,2018-10-05,2018-10-22,2018-10-05,B4,SYNO-15,WW,18,12,
GK,KW,RI,GK,2018-10-05,2018-10-22,2018-10-05,B2,SYNO-16,WW,31,12,
GX,KW,KW,GX,2018-10-05,2018-10-16,2018-10-05,B2,SYNO-17,WD,38,13,
GK,KW,GX,GK,2018-10-05,2018-10-22,2018-10-05,B4,SYNO-18,WW,34,18,
GX,KW,AR,GX,2018-10-05,2018-10-22,2018-10-05,B2,SYNO-19,WD,31,15,
GX,SK,RI,GX,2018-10-04,2018-10-16,2018-10-04,B5,SYNO-20,WD,10,2.28,
LB,KW,GX,LB,2018-09-25,2018-10-04,2018-10-03,B1,VAMA-01,WW,0.0337,0.0157,
-,-,-,-,-,-,-,B3,VAMA-02,WW,-,-,dead plant
-,-,-,-,-,-,-,B2,VAMA-03,WD,-,-,dead plant
-,-,-,-,-,-,-,B5,VAMA-04,WD,-,-,dead plant
-,-,-,-,-,-,-,B5,VAMA-05,WD,-,-,dead plant
-,-,-,-,-,-,-,B4,VAMA-06,WD,-,-,dead plant
LB,KW,GX,LB,2018-09-25,2018-10-04,2018-10-03,B3,VAMA-07,WD,0.0487,0.0378,
-,-,-,-,-,-,-,B4,VAMA-08,WD,-,-,dead plant
SK,SK,GX,SK,2018-10-15,2018-10-15,2018-10-01,B2,VAMA-09,WW,0.001,0.0032,ABD is larger than ABF. (SK)
-,-,-,-,-,-,-,B2,VAMA-10,WW,-,-,dead plant
-,-,-,-,-,-,-,B5,VAMA-11,WW,-,-,dead plant
-,-,-,-,-,-,-,B3,VAMA-12,WD,-,-,dead plant
-,-,-,-,-,-,-,B4,VAMA-13,WD,-,-,dead plant
LB,KW,GX,LB,2018-09-25,2018-10-04,2018-10-03,B4,VAMA-14,WW,0.0112,0.0087,
-,-,-,-,-,-,-,B1,VAMA-15,WW,-,-,dead plant
-,-,-,-,-,-,-,B1,VAMA-16,WD,-,-,dead plant
-,-,-,-,-,-,-,B2,VAMA-17,WD,-,-,dead plant
