,processed_by,block,pot_id,trt,sampled,volume_cm_cubed,raw_total_length_mm,mean_radius_mm,dpi,border_pixels,particle_clean_size,circularity,min_threshold,max_threshold,remarks
110,-,B3,SC-10,WW,-,2299.57,-,-,-,-,-,-,-,-,-
111,-,B2,SC-11,WD,-,2299.57,-,-,-,-,-,-,-,-,-
112,-,B2,SC-12,WW,-,2299.57,-,-,-,-,-,-,-,-,-
113,-,B3,SC-13,WD,-,2299.57,-,-,-,-,-,-,-,-,-
114,-,B1,SC-14,WW,-,2299.57,-,-,-,-,-,-,-,-,-
115,-,B1,SC-15,WD,-,2299.57,-,-,-,-,-,-,-,-,-
116,-,B5,SC-16,WD,-,2299.57,-,-,-,-,-,-,-,-,-
117,-,B4,SC-17,WW,-,2299.57,-,-,-,-,-,-,-,-,-
118,-,B3,SC-18,WW,-,2299.57,-,-,-,-,-,-,-,-,-
119,-,B2,SC-19,WW,-,2299.57,-,-,-,-,-,-,-,-,-
120,-,B4,SC-20,WD,-,2299.57,-,-,-,-,-,-,-,-,-
121,TTR,B2,SEAC-01,WW,pot,2299.57,12497.01,0.3577839,600,50,1,0.75,0,190,"#P 2000-6000; changed from ""B1"" to ""B2"" (GX)"
122,TTR,B2,SEAC-02,WW,pot,2299.57,77632.86,0.3551287,600,50,1,0.75,0,190,"#P 2200-3500, image 01,03 EDITED"
123,GX,B2,SEAC-03,WD,pot,2299.57,101227.4,0.5571533,600,50,1,0.75,0,190,most likely the CPR-2-3- tube (GX)
124,GX,B3,SEAC-04,WW,pot,2299.57,79816.16,0.4671008,600,50,1,0.75,0,190,"no raw image? (TR); yeah, this might be B4-SEAL-20-WD (GX)"
125,TTR,B5,SEAC-05,WW,pot,2299.57,122014.5,0.2716377,600,50,1,0.75,0,190,"#P 1000-4200, image 01,03,04,05 EDITED"
126,TTR,B5,SEAC-06,WD,pot,2299.57,45185.08,0.3820709,600,50,1,0.75,0,190,typo - might be B5-SEAL-06-WW as well (GX)
127,TTR,B5,SEAC-07,WD,pot,2299.57,171070.4,0.3446809,600,50,1,0.75,0,190,#P 400-10000
128,TTR,B4,SEAC-08,WW,pot,2299.57,82284.27,0.3407412,600,50,1,0.75,0,190,"#P 2200-4000 , image 04 EDITED"
129,TTR,B1,SEAC-09,WW,pot,2299.57,67101.47,0.3267711,600,50,1,0.75,0,190,#P 1000-3000
130,TTR,B3,SEAC-10,WW,pot,2299.57,104071.7,0.4228037,600,50,1,0.75,0,190,#P 1200-4700
131,TTR,B1,SEAC-11,WD,pot,2299.57,137872.5,0.4486385,600,50,1,0.75,0,190,#P 1300-4200
