typed_by_dry,recorded_by_dry,typed_date_ymd,record_date_ymd,block ,pot_ID,treatment,fine/coarse,envelope_num,below_dry_g,remarks
GX,GX,2019-04-10,2019-04-10,B2,SOBI-02,WW,coarse,1,0.6226,-
GK,GK,2019-04-30,2019-04-30,B2,SOBI-02,WW,fine,2,0.837,"typo; changed from ""WD"" to ""WW"" (GX)"
GK,GK,2019-04-30,2019-04-30,B2,SOBI-02,WW,fine,1,2.1647,"typo; changed from ""WD"" to ""WW"" (GX)"
GK,GK,2019-04-30,2019-04-30,B4,SOBI-03,WW,coarse,1,0.5727,"typo; changed from ""WD"" to ""WW"" (GX)"
GK,GK,2019-04-30,2019-04-30,B4,SOBI-03,WW,fine,1,2.9991,"typo; changed from ""B3"" to ""B4"" and ""WD"" to ""WW"" (GX)"
GK,GK,2019-04-30,2019-04-30,B4,SOBI-03,WW,fine,1,1.9976,"typo; changed from ""WD"" to ""WW"" (GX)"
GK,GK,2019-04-30,2019-04-30,B4,SOBI-03,WW,fine,3,2.2103,"typo; changed from ""WD"" to ""WW"" (GX)"
GX,GX,2019-04-10,2019-04-10,B4,SOBI-04,WD,coarse,1,0.3185,-
GK,GK,2019-04-30,2019-04-30,B4,SOBI-04,WD,fine,1,2.7988,-
GX,GX,2019-04-10,2019-04-10,B1,SOBI-05,WD,coarse,1,0.2187,-
GK,GK,2019-04-30,2019-04-30,B1,SOBI-05,WD,fine,1,3.6231,-
GX,GX,2019-04-10,2019-04-10,B4,SOBI-06,WW,coarse,1,0.3521,-
GK,GK,2019-04-30,2019-04-30,B4,SOBI-06,WW,fine,1,2.1566,"typo; changed from ""WD"" to ""WW"" (GX)"
GK,GK,2019-04-30,2019-04-30,B4,SOBI-06,WW,fine,2,2.0507,"typo; changed from ""WD"" to ""WW"" (GX)"
GX,GX,2019-04-10,2019-04-10,B4,SOBI-07,WD,coarse,1,0.2175,-
GK,GK,2019-04-30,2019-04-30,B4,SOBI-07,WD,fine,1,2.2648,-
GK,GK,2019-04-30,2019-04-30,B4,SOBI-07,WD,fine,2,2.4788,-
GK,GK,2019-04-30,2019-04-30,B4,SOBI-07,WD,fine,3,1.7252,-
GX,GX,2019-04-10,2019-04-10,B5,SOBI-08,WD,coarse,1,0.1804,-
GK,GK,2019-04-30,2019-04-30,B5,SOBI-08,WD,fine,1,3.3271,-
GX,GK,2019-04-30,2019-04-30,B2,SOBI-09,WD,fine,2,1.9469,-
GK,GK,2019-04-30,2019-04-30,B2,SOBI-09,WD,fine,1,2.0061,-
GK,GK,2019-04-30,2019-04-30,B2,SOBI-09,WD,coarse,1,0.1876,-
GK,GK,2019-04-30,2019-04-30,B2,SOBI-09,WD,fine,3,1.8514,-
GX,GX,2019-04-10,2019-04-10,B3,SOBI-10,WD,coarse,1,0.2841,-
GK,GK,2019-04-30,2019-04-30,B3,SOBI-10,WD,fine,1,2.5031,-
GK,GK,2019-04-30,2019-04-30,B3,SOBI-10,WD,fine,3,1.0535,-
GK,GK,2019-04-30,2019-04-30,B3,SOBI-10,WD,fine,2,1.895,-
GX,GX,2019-04-10,2019-04-10,B1,SOBI-11,WD,coarse,1,0.8381,-
GK,GK,2019-04-30,2019-04-30,B1,SOBI-11,WW,fine,1,3.1552,"typo; changed from ""WW"" to ""WD"" (GX)"
